GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AepMongoJava2026,br.com.munif.cesumar.service,DoacaoService,0,121,0,4,0,21,0,11,0,9
AepMongoJava2026,br.com.munif.cesumar.service,PontoColetaService,0,93,0,2,0,15,0,9,0,8
AepMongoJava2026,br.com.munif.cesumar.service,LinguagemService,0,84,0,0,0,18,0,8,0,8
AepMongoJava2026,br.com.munif.cesumar.mapper,DoacaoMapper,0,81,0,0,0,6,0,7,0,7
AepMongoJava2026,br.com.munif.cesumar.mapper,LinguagemMapper,0,47,0,0,0,12,0,5,0,5
AepMongoJava2026,br.com.munif.cesumar.mapper,PontoColetaMapper,0,65,0,0,0,7,0,5,0,5
AepMongoJava2026,br.com.munif.cesumar.model,PontoColeta,0,12,0,0,0,1,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.model,ItemAlimento,0,12,0,0,0,1,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.model,Linguagem,0,39,0,0,0,16,0,8,0,8
AepMongoJava2026,br.com.munif.cesumar.model,Endereco,0,15,0,0,0,1,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.model,Doacao,0,18,0,0,0,1,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.exception,ApiError,0,18,0,0,0,1,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.exception,GlobalExceptionHandler,0,80,0,0,0,19,0,8,0,8
AepMongoJava2026,br.com.munif.cesumar.exception,LinguagemNotFoundException,0,5,0,0,0,2,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.exception,RecursoNotFoundException,0,6,0,0,0,2,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.exception,ConflitoDoacaoException,0,4,0,0,0,2,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.controller,PontoColetaController,0,49,0,0,0,11,0,6,0,6
AepMongoJava2026,br.com.munif.cesumar.controller,LinguagemController,0,51,0,0,0,14,0,6,0,6
AepMongoJava2026,br.com.munif.cesumar.controller,DoacaoController,0,49,0,0,0,9,0,6,0,6
AepMongoJava2026,br.com.munif.cesumar.dto,EnderecoResponse,0,15,0,0,0,1,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.dto,LinguagemCreateRequest,0,12,0,0,0,1,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.dto,DoacaoUpdateRequest,0,15,0,0,0,1,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.dto,LinguagemSummaryResponse,0,9,0,0,0,1,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.dto,PontoColetaResponse,0,12,0,0,0,1,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.dto,EnderecoRequest,0,15,0,0,0,1,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.dto,ItemAlimentoResponse,0,12,0,0,0,1,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.dto,DoacaoCreateRequest,0,15,0,0,0,1,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.dto,LinguagemUpdateRequest,0,12,0,0,0,1,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.dto,DoacaoResponse,0,18,0,0,0,1,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.dto,LinguagemResponse,0,15,0,0,0,1,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.dto,PontoColetaCreateRequest,0,9,0,0,0,1,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.dto,PontoColetaUpdateRequest,0,9,0,0,0,1,0,1,0,1
AepMongoJava2026,br.com.munif.cesumar.dto,ItemAlimentoRequest,0,12,0,0,0,1,0,1,0,1
